acs_port_8080,db_port_3306,db_port_8123,timestamp
0,0,0,2021_10_08_21_40_58
6,0,0,2021_10_08_21_42_59
8,0,0,2021_10_08_21_44_59
3,0,0,2021_10_08_21_46_59
3,0,0,2021_10_08_21_48_59
0,0,0,2021_10_08_21_58_03
0,0,0,2021_11_08_14_50_44
4,0,0,2021_11_08_14_52_45
2,0,0,2021_11_08_14_54_40
0,0,0,2021_11_08_14_56_44
10,0,0,2021_11_08_14_58_45
10,0,0,2021_11_08_15_00_45
1,0,0,2021_11_08_15_02_45
1,0,0,2021_11_08_15_03_55
0,0,0,2021_11_08_15_04_25
11,0,0,2021_11_08_15_06_26
11,0,0,2021_11_08_15_08_26
1,0,0,2021_11_08_15_10_26
1,0,0,2021_11_08_15_12_26
3,0,0,2021_11_08_15_14_26
3,0,0,2021_11_08_15_16_26
3,0,0,2021_11_08_15_18_26
1,0,0,2021_11_08_15_20_26
1,0,0,2021_11_08_15_22_26
1,0,0,2021_11_08_15_24_26
1,0,0,2021_11_08_15_26_26
1,0,0,2021_11_08_15_28_26
1,0,0,2021_11_08_15_30_26
0,0,0,2021_11_08_15_49_31
10,0,0,2021_11_08_15_51_32
5,0,0,2021_11_08_15_53_32
5,0,0,2021_11_08_15_55_32
5,0,0,2021_11_08_15_57_32
0,0,0,2021_11_08_15_58_36
9,0,0,2021_11_08_16_00_36
9,0,0,2021_11_08_16_02_37
1,0,0,2021_11_08_16_04_36
1,0,0,2021_11_08_16_06_36
0,0,0,2021_11_08_16_08_23
0,0,0,2021_11_08_16_10_13
13,0,0,2021_11_08_16_12_14
13,0,0,2021_11_08_16_14_14
1,0,0,2021_11_08_16_16_14
1,0,0,2021_11_08_16_18_14
1,0,0,2021_11_08_16_20_14
1,0,0,2021_11_08_16_22_14
0,0,0,2021_11_08_16_22_56
13,0,0,2021_11_08_16_24_57
7,0,0,2021_11_08_16_25_44
8,0,0,2021_11_08_16_26_57
2,0,0,2021_11_08_16_27_45
2,0,0,2021_11_08_16_28_57
2,0,0,2021_11_08_16_29_45
2,0,0,2021_11_08_16_30_57
2,0,0,2021_11_08_16_31_45
2,0,0,2021_11_08_16_32_57
2,0,0,2021_11_08_16_33_45
14,0,0,2021_11_08_16_34_57
14,0,0,2021_11_08_16_35_45
14,0,0,2021_11_08_16_36_57
14,0,0,2021_11_08_16_37_45
14,0,0,2021_11_08_16_38_57
2,0,0,2021_11_08_16_39_45
2,0,0,2021_11_08_16_40_57
2,0,0,2021_11_08_16_41_45
2,0,0,2021_11_08_16_42_57
2,0,0,2021_11_08_16_43_45
2,0,0,2021_11_08_16_44_57
2,0,0,2021_11_08_16_45_45
2,0,0,2021_11_08_16_46_57
2,0,0,2021_11_08_16_47_46
0,0,0,2021_11_08_16_48_19
1,0,0,2021_11_08_16_50_21
13,0,0,2021_11_08_16_52_21
0,0,0,2021_11_08_16_52_52
13,0,0,2021_11_08_16_54_53
0,0,0,2021_11_08_16_55_29
1,0,0,2021_11_08_16_56_16
0,0,0,2021_11_08_16_56_59
0,0,0,2021_11_08_16_58_49
13,0,0,2021_11_08_17_00_51
11,0,0,2021_11_08_17_02_07
24,0,0,2021_11_08_17_04_08
13,0,0,2021_11_08_17_06_08
1,0,0,2021_11_08_17_08_08
1,0,0,2021_11_08_17_10_08
1,0,0,2021_11_08_17_12_08
0,0,0,2021_11_08_17_54_25
1,0,0,2021_11_08_19_26_26
1,0,0,2021_11_08_19_28_26
1,0,0,2021_11_08_19_30_26
1,0,0,2021_11_08_19_32_26
1,0,0,2021_11_08_19_34_26
1,0,0,2021_11_08_19_36_25
2,0,0,2021_11_08_19_38_25
2,0,0,2021_11_08_19_40_14
3,0,0,2021_11_08_19_40_26
10,0,0,2021_11_08_19_42_15
9,0,0,2021_11_08_19_42_26
9,0,0,2021_11_08_19_44_15
9,0,0,2021_11_08_19_44_25
7,0,0,2021_11_08_19_44_45
20,0,0,2021_11_08_19_46_46
0,0,0,2021_11_08_19_46_53
7,0,0,2021_11_08_19_48_53
7,0,0,2021_11_08_19_50_53
1,0,0,2021_11_08_19_52_53
1,0,0,2021_11_08_19_54_54
1,0,0,2021_11_08_19_56_53
1,0,0,2021_11_08_19_58_54
1,0,0,2021_11_08_20_00_53
1,0,0,2021_11_08_20_02_53
1,0,0,2021_11_08_20_04_53
1,0,0,2021_11_08_20_06_53
1,0,0,2021_11_08_20_08_53
1,0,0,2021_11_08_20_10_53
1,0,0,2021_11_08_20_12_53
1,0,0,2021_11_08_20_14_53
1,0,0,2021_11_08_20_16_54
1,0,0,2021_11_08_20_18_54
1,0,0,2021_11_08_20_20_54
1,0,0,2021_11_08_20_22_54
1,0,0,2021_11_08_20_24_54
1,0,0,2021_11_08_20_26_54
1,0,0,2021_11_08_20_28_54
1,0,0,2021_11_08_20_30_54
1,0,0,2021_11_08_20_32_54
1,0,0,2021_11_08_20_34_54
1,0,0,2021_11_08_20_36_54
1,0,0,2021_11_08_20_38_54
0,0,0,2021_11_08_20_40_19
13,0,0,2021_11_08_20_42_21
12,0,0,2021_11_08_20_43_36
25,0,0,2021_11_08_20_45_38
13,0,0,2021_11_08_20_47_37
12,0,0,2021_11_08_20_47_43
12,0,0,2021_11_08_20_49_44
0,0,0,2021_11_08_20_50_04
0,0,0,2021_11_08_20_51_31
0,0,0,2021_11_08_20_52_19
13,0,0,2021_11_08_20_54_21
13,0,0,2021_11_08_20_56_20
1,0,0,2021_11_08_20_58_21
1,0,0,2021_11_08_21_00_21
1,0,0,2021_11_08_21_02_21
1,0,0,2021_11_08_21_04_21
1,0,0,2021_11_08_21_06_20
1,0,0,2021_11_08_21_08_21
1,0,0,2021_11_08_21_10_21
1,0,0,2021_11_08_21_12_21
1,0,0,2021_11_08_21_14_21
1,0,0,2021_11_08_21_16_20
1,0,0,2021_11_08_21_18_20
1,0,0,2021_11_08_21_20_21
1,0,0,2021_11_08_21_22_21
0,0,0,2021_11_08_21_24_14
0,0,0,2021_11_08_21_25_18
1,0,0,2021_11_08_21_27_19
0,0,0,2021_11_08_21_28_31
0,0,0,2021_11_08_21_29_19
0,0,0,2021_11_08_21_30_16
7,0,0,2021_11_08_21_32_17
3,0,0,2021_11_08_21_33_38
3,0,0,2021_11_08_21_33_46
4,0,0,2021_11_08_21_34_17
1,0,0,2021_11_08_21_34_43
8,0,0,2021_11_08_21_36_43
8,0,0,2021_11_08_21_36_44
7,0,0,2021_11_08_21_38_04
2,0,0,2021_11_08_21_38_43
12,0,0,2021_11_08_21_40_06
10,0,0,2021_11_08_21_40_43
5,0,0,2021_11_08_21_42_06
4,0,0,2021_11_08_21_42_38
7,0,0,2021_11_08_21_42_43
4,0,0,2021_11_08_21_44_40
3,0,0,2021_11_08_21_44_43
3,0,0,2021_11_08_21_46_40
3,0,0,2021_11_08_21_46_43
2,0,0,2021_11_08_21_48_40
2,0,0,2021_11_08_21_48_43
1,0,0,2021_11_08_21_50_33
8,0,0,2021_11_08_21_50_43
0,0,0,2021_11_08_21_51_34
12,0,0,2021_11_08_21_53_35
12,0,0,2021_11_08_21_55_35
1,0,0,2021_11_08_21_57_35
1,0,0,2021_11_08_21_59_35
1,0,0,2021_11_08_22_00_39
14,0,0,2021_11_08_22_01_35
14,0,0,2021_11_08_22_02_40
14,0,0,2021_11_08_22_03_35
14,0,0,2021_11_08_22_04_40
2,0,0,2021_11_08_22_05_35
2,0,0,2021_11_08_22_06_40
2,0,0,2021_11_08_22_07_35
2,0,0,2021_11_08_22_08_40
2,0,0,2021_11_08_22_09_35
2,0,0,2021_11_08_22_10_40
2,0,0,2021_11_08_22_11_35
2,0,0,2021_11_08_22_12_40
2,0,0,2021_11_08_22_13_35
1,0,0,2021_11_08_22_13_51
14,0,0,2021_11_08_22_15_35
14,0,0,2021_11_08_22_15_52
14,0,0,2021_11_08_22_17_35
14,0,0,2021_11_08_22_17_52
1,0,0,2021_11_08_22_19_15
13,0,0,2021_11_08_22_19_35
1,0,0,2021_11_08_22_20_11
13,0,0,2021_11_08_22_21_35
12,0,0,2021_11_08_22_22_01
14,0,0,2021_11_08_22_23_35
14,0,0,2021_11_08_22_24_02
13,0,0,2021_11_08_22_25_35
12,0,0,2021_11_08_22_25_41
16,0,0,2021_11_08_22_26_39
15,0,0,2021_11_08_22_27_35
14,0,0,2021_11_08_22_27_49
14,0,0,2021_11_08_22_29_29
15,0,0,2021_11_08_22_29_35
14,0,0,2021_11_08_22_30_20
14,0,0,2021_11_08_22_31_35
1,0,0,2021_11_08_22_32_05
1,0,0,2021_11_08_22_33_32
2,0,0,2021_11_08_22_33_35
4,0,0,2021_11_08_22_34_32
10,0,0,2021_11_08_22_35_35
6,0,0,2021_11_08_22_36_34
5,0,0,2021_11_08_22_37_34
6,0,0,2021_11_08_22_37_35
3,0,0,2021_11_08_22_39_21
13,0,0,2021_11_08_22_39_35
13,0,0,2021_11_08_22_41_22
13,0,0,2021_11_08_22_41_35
12,0,0,2021_11_08_22_42_21
